search URL:,https://patents.google.com/?assignee=Nio+Inc.%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10360020-B2,Virtual machine (VM) approach to embedded system hot update ,"Nio Usa, Inc.",Yanir Hirshberg,2017-04-11,2017-04-11,2019-07-23,2019-07-23,https://patents.google.com/patent/US10360020B2/en,https://patentimages.storage.googleapis.com/00/b2/be/623543883d113e/US10360020-20190723-D00000.png
US-9944192-B2,Electric vehicle charging station system and method of use ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-02-19,2018-04-17,2018-04-17,https://patents.google.com/patent/US9944192B2/en,https://patentimages.storage.googleapis.com/b5/1e/b8/40ad85a1df4e7f/US09944192-20180417-D00000.png
US-10604020-B2,Floating armature ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-11-14,2020-03-31,2020-03-31,https://patents.google.com/patent/US10604020B2/en,https://patentimages.storage.googleapis.com/a8/47/33/f7dafb8a9f7039/US10604020-20200331-D00000.png
US-10093195-B2,Integrated vehicle charging panel system and method of use ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-06-30,2018-10-09,2018-10-09,https://patents.google.com/patent/US10093195B2/en,https://patentimages.storage.googleapis.com/51/b9/bc/4366f0219d0c53/US10093195-20181009-D00000.png
US-9937818-B2,Vehicle having a rigid frame structure for receiving a replaceable battery pack ,"Nio Usa, Inc.",Austin L. Newman,2016-02-09,2016-07-31,2018-04-10,2018-04-10,https://patents.google.com/patent/US9937818B2/en,https://patentimages.storage.googleapis.com/50/ad/30/ac157c51cd6d79/US09937818-20180410-D00000.png
US-10252631-B2,Communications between vehicle and charging system ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-09-30,2019-04-09,2019-04-09,https://patents.google.com/patent/US10252631B2/en,https://patentimages.storage.googleapis.com/f5/ae/a5/50dcf8bf8c095e/US10252631-20190409-D00000.png
US-10071641-B2,Electric contact device for electric vehicles and method of use ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-08-25,2018-09-11,2018-09-11,https://patents.google.com/patent/US10071641B2/en,https://patentimages.storage.googleapis.com/be/dc/b1/66bffde84ff073/US10071641-20180911-D00000.png
US-10753761-B2,Universal battery and modular power system ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-09-30,2020-08-25,2020-08-25,https://patents.google.com/patent/US10753761B2/en,https://patentimages.storage.googleapis.com/20/78/c2/964fb400d43a76/US10753761-20200825-D00000.png
US-10080318-B2,Safety shield for charging ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-09-30,2018-09-18,2018-09-18,https://patents.google.com/patent/US10080318B2/en,https://patentimages.storage.googleapis.com/e1/4c/b4/660ada98cf8f4a/US10080318-20180918-D00000.png
US-2021136087-A1,Firewall ,"Nio Usa, Inc.","Yanir Hirshberg, Craig North",2017-02-02,2021-01-12,2021-05-06,,https://patents.google.com/patent/US20210136087A1/en,https://patentimages.storage.googleapis.com/66/d1/aa/f2a152772d07d6/US20210136087A1-20210506-D00000.png
US-10818978-B2,Battery module having a pressure sensor ,"Nio Usa, Inc.","Austin Lawrence Newman, Yadunandana Yellambalase",2016-05-13,2016-10-04,2020-10-27,2020-10-27,https://patents.google.com/patent/US10818978B2/en,https://patentimages.storage.googleapis.com/23/21/ac/e9b3f5d182faad/US10818978-20201027-D00000.png
US-2019016365-A1,Body mounted sliding steering column with offset feedback actuator ,"Nio Usa, Inc.","Sai Maharaja Swamidason, Aaron R. Bailey, Martin J. McKeefery",2017-07-11,2017-07-11,2019-01-17,,https://patents.google.com/patent/US20190016365A1/en,https://patentimages.storage.googleapis.com/3f/19/a5/a1c2acd5c618d5/US20190016365A1-20190117-D00000.png
US-2021039578-A1,Universal seat-mounted airbag ,"Nio Usa, Inc.","Jeffrey D. Rupp, Samantha L. Schoell, Jane Williams, Colin J. Stevens, Teh Feng Fang",2019-08-06,2019-08-06,2021-02-11,,https://patents.google.com/patent/US20210039578A1/en,https://patentimages.storage.googleapis.com/50/86/2d/7eb106437948c8/US20210039578A1-20210211-D00000.png
US-2018370559-A1,Retractable telescopic mechanism for steering column with feedback actuator ,"Nio Usa, Inc.",Sai Maharaja Swamidason,2017-06-26,2017-06-26,2018-12-27,,https://patents.google.com/patent/US20180370559A1/en,https://patentimages.storage.googleapis.com/a2/f8/25/28eb29eb4dee7e/US20180370559A1-20181227-D00000.png
US-10700395-B2,Battery module housing having an integrally-formed cooling plate ,"Nio Usa, Inc.","Austin NEWMAN, Joshua Smith",2016-08-09,2016-11-29,2020-06-30,2020-06-30,https://patents.google.com/patent/US10700395B2/en,https://patentimages.storage.googleapis.com/69/7f/df/94d8ae2ae02a6b/US10700395-20200630-D00000.png
US-2018259966-A1,Navigation of autonomous vehicles to enhance safety under one or more fault conditions ,"Nio Usa, Inc.",Joseph William Long,2017-03-13,2017-03-13,2018-09-13,,https://patents.google.com/patent/US20180259966A1/en,https://patentimages.storage.googleapis.com/ef/87/0b/4bf84f740d8074/US20180259966A1-20180913-D00000.png
US-2019143936-A1,System and method for controlling a vehicle using secondary access methods ,"Nio Usa, Inc.","Infantdani Abel Rayan, Karthick Kumar Malli Raghavan, Xiaochen JIA",2017-11-13,2017-11-13,2019-05-16,,https://patents.google.com/patent/US20190143936A1/en,https://patentimages.storage.googleapis.com/aa/ca/52/691dd5c58190d4/US20190143936A1-20190516-D00000.png
US-2018203443-A1,Method and system for using weather information in operation of autonomous vehicles ,"Nio Usa, Inc.",Austin L. Newman,2017-01-16,2017-01-16,2018-07-19,,https://patents.google.com/patent/US20180203443A1/en,https://patentimages.storage.googleapis.com/f1/37/81/0f796008296fc6/US20180203443A1-20180719-D00000.png
US-10399445-B2,Method and system for ejecting a charging handle from a vehicle ,"Nio Usa, Inc.","Yadunandana Yellambalase, Austin L. Newman",2017-01-16,2017-01-16,2019-09-03,2019-09-03,https://patents.google.com/patent/US10399445B2/en,https://patentimages.storage.googleapis.com/0f/26/f3/342ff2368ff707/US10399445-20190903-D00000.png
US-2019146500-A1,Vehicle self-localization using particle filters and visual odometry ,"Nio Usa, Inc.","Veera Ganesh Yalla, Sathya Narayanan Kasturi Rangan, Davide Bacchet",2017-10-30,2019-01-14,2019-05-16,,https://patents.google.com/patent/US20190146500A1/en,https://patentimages.storage.googleapis.com/57/a2/21/5044c559a888ca/US20190146500A1-20190516-D00000.png
US-11046279-B2,Adaptive backup structure for airbag support ,"Nio Usa, Inc.",Jeffrey D. Rupp,2017-09-13,2019-12-17,2021-06-29,2021-06-29,https://patents.google.com/patent/US11046279B2/en,https://patentimages.storage.googleapis.com/fa/0f/b3/c4cc47d2e8623a/US11046279-20210629-D00000.png
US-10845803-B2,Method and apparatus for simultaneous processing and logging of automotive vision system with controls and fault monitoring ,"Nio Usa, Inc.","Stephen Eric Sidle, Veera Ganesh Yalla, Samir Agrawal, Jerry L. Petree, Dennis Polischuk",2017-11-29,2017-11-29,2020-11-24,2020-11-24,https://patents.google.com/patent/US10845803B2/en,https://patentimages.storage.googleapis.com/9c/83/23/c1809bfb58a4e3/US10845803-20201124-D00000.png
US-2019049958-A1,Method and system for multiple sensor correlation diagnostic and sensor fusion/dnn monitor for autonomous driving application ,"Nio Usa, Inc.","Xiaodong Liu, Bo Guo",2017-08-08,2017-08-08,2019-02-14,,https://patents.google.com/patent/US20190049958A1/en,https://patentimages.storage.googleapis.com/54/83/ff/a34bf03be49030/US20190049958A1-20190214-D00000.png
US-10443282-B2,Articulating mechanism for a vehicle door ,"Nio Usa, Inc.","Ivonne Bauer, Geoffrey Daniel Young, Tom Peleg, Ren Ren, Padmanabhan Kumar, Paul R. Murray, Shane L. Kenyon",2016-09-29,2017-09-28,2019-10-15,2019-10-15,https://patents.google.com/patent/US10443282B2/en,https://patentimages.storage.googleapis.com/e8/5b/ff/d02843763f2c9c/US10443282-20191015-D00000.png
US-2019107406-A1,Systems and methods for trip planning under uncertainty ,"Nio Usa, Inc.","Jonathan A. COX, Marzieh Parandehgheibi, Zhou Xing, Cong Zhao, Gautam Muralidhar, Nilesh V. Kulkarni, Christopher F. Pouliot, Abhishek Singhal",2017-10-09,2017-10-09,2019-04-11,,https://patents.google.com/patent/US20190107406A1/en,https://patentimages.storage.googleapis.com/4c/3b/dc/b02a6bda8fb1b5/US20190107406A1-20190411-D00000.png
US-10396631-B2,Dual inverter and electric motor split-flow cooling system ,"Nio Usa, Inc.",Robert Herb,2017-10-31,2017-10-31,2019-08-27,2019-08-27,https://patents.google.com/patent/US10396631B2/en,https://patentimages.storage.googleapis.com/74/de/62/fa01099ce9e52b/US10396631-20190827-D00000.png
US-10486512-B2,Compact side-by-side motor gearbox unit ,"Nio Usa, Inc.",Dimitri Bassis,2017-08-29,2017-08-29,2019-11-26,2019-11-26,https://patents.google.com/patent/US10486512B2/en,https://patentimages.storage.googleapis.com/80/69/28/9bfbbea0261f42/US10486512-20191126-D00000.png
US-10707471-B2,Single side cell-to-cell battery module interconnection ,"Nio Usa, Inc.","Austin L. Newman, Alexander J. Smith",2018-03-22,2018-03-22,2020-07-07,2020-07-07,https://patents.google.com/patent/US10707471B2/en,https://patentimages.storage.googleapis.com/d4/88/b6/b642ee9f77b7fe/US10707471-20200707-D00000.png
