search URL:,https://patents.google.com/?assignee=Tesla+Motors%252c+Inc&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-D766802-S,Vehicle wheel ,"Tesla Motors, Inc.","Joonas Vartola, Franz Von Holzhausen, David T Imai",2015-07-07,2015-07-07,2016-09-20,2016-09-20,https://patents.google.com/patent/USD766802S1/en,https://patentimages.storage.googleapis.com/b3/71/3b/7749ce6c2acf11/USD0766802-20160920-D00000.png
US-10439477-B2,Pressurized and gravity-fed liquid cooling of electric motor ,"Tesla, Inc.","Gary A. Pinkley, David F. Nelson, William R. Fong, Scott Heines, Edwin M. Pearce, Jr.",2014-01-31,2014-01-31,2019-10-08,2019-10-08,https://patents.google.com/patent/US10439477B2/en,https://patentimages.storage.googleapis.com/dd/1f/35/6482e3a2c07d86/US10439477-20191008-D00000.png
US-10046422-B2,Extrusion piece with insert of dissimilar material ,"Tesla, Inc.",Michael J. Baldwin,2013-05-03,2016-04-15,2018-08-14,2018-08-14,https://patents.google.com/patent/US10046422B2/en,https://patentimages.storage.googleapis.com/f8/ae/96/bcf2860141aefb/US10046422-20180814-D00000.png
US-2014212695-A1,Flexible printed circuit as high voltage interconnect in battery modules ,"Tesla Motors, Inc.","Robert Clinton Lane, Jeff Weintraub",2013-01-30,2013-01-30,2014-07-31,,https://patents.google.com/patent/US20140212695A1/en,https://patentimages.storage.googleapis.com/2d/6d/c0/b61ddf128141f6/US20140212695A1-20140731-D00000.png
US-D774435-S,Vehicle wheel ,"Tesla Motors, Inc.","Joonas Vartola, Franz Von Holzhausen, David T Imai",2015-07-07,2015-07-07,2016-12-20,2016-12-20,https://patents.google.com/patent/USD774435S1/en,https://patentimages.storage.googleapis.com/cc/7e/86/e9426747581c3c/USD0774435-20161220-D00000.png
US-D809967-S,Vehicle instrument panel ,"Tesla, Inc.","Ivan Lampkin, Peter Blades-Nixon, Franz Von Holzhausen",2016-03-30,2016-03-30,2018-02-13,2018-02-13,https://patents.google.com/patent/USD809967S1/en,https://patentimages.storage.googleapis.com/35/26/46/10eafe8205a841/USD0809967-20180213-D00000.png
JP-2023015182-A,Elemental metal and carbon mixtures for energy storage devices ,"テスラ・インコーポレーテッド, Tesla Motors Inc","ヒエウ ミン ドゥオン, Hieu Minh Duong, ポーター ミッチェル, Mitchell Porter, ムハンマド－ヤジド サイディ, Saidi Mohammed-Yazid",2016-02-23,2022-11-01,2023-01-31,,https://patents.google.com/patent/JP2023015182A/en,https://patentimages.storage.googleapis.com/24/97/60/effdd085e11f40/2023015182000002.png
JP-2023058614-A,"Energy storage device electrode, and method for fabricating dry energy storage device electrode film ","テスラ・インコーポレーテッド, Tesla Motors Inc","サンタナム ラマン, Raman Santhanam, ジェイムズ ボーケンヘイゲン, borkenhagen James, シャオメイ シ, Xiaomei Xi, シャンロン イエ, Xiang-Rong Ye",2016-03-01,2023-02-09,2023-04-25,,https://patents.google.com/patent/JP2023058614A/en,https://patentimages.storage.googleapis.com/28/ea/5f/5919b9bc98d395/2023058614000002.png
US-8973965-B2,Folding and stowing rear-facing vehicle seat ,"Tesla Motors, Inc.","Daryl Zalan, Sohel Merchant",2013-05-10,2013-05-10,2015-03-10,2015-03-10,https://patents.google.com/patent/US8973965B2/en,https://patentimages.storage.googleapis.com/af/82/fd/41bd768c1b06ef/US08973965-20150310-D00000.png
US-9352783-B2,Vehicle crush rail with substantially square cells and initiators ,"Tesla Motors, Inc.","N. Petter WINBERG, Timothy L. Sheldon, Sachin Shrimant Sawant",2014-04-17,2014-04-17,2016-05-31,2016-05-31,https://patents.google.com/patent/US9352783B2/en,https://patentimages.storage.googleapis.com/fb/40/b2/5d30e91fae980e/US09352783-20160531-D00000.png
